# freq (s^-1)	real_htilde_+ (strain s)	imag_htilde_+ (strain s)	real_htilde_x (strain s)	imag_htilde_x (strain s)
464.875000	5.229593e-50	4.488158e-50	-4.488158e-50	5.229593e-50
465.000000	6.002275e-50	3.361635e-50	-3.361635e-50	6.002275e-50
465.125000	6.536391e-50	2.107080e-50	-2.107080e-50	6.536391e-50
465.250000	6.811874e-50	7.742583e-51	-7.742583e-51	6.811874e-50
465.375000	6.818895e-50	-5.841983e-51	5.841983e-51	6.818895e-50
465.500000	6.558205e-50	-1.914863e-50	1.914863e-50	6.558205e-50
465.625000	6.041056e-50	-3.165618e-50	3.165618e-50	6.041056e-50
465.750000	5.288718e-50	-4.287691e-50	4.287691e-50	5.288718e-50
465.875000	4.331602e-50	-5.237557e-50	5.237557e-50	4.331602e-50
466.000000	3.208024e-50	-5.978621e-50	5.978621e-50	3.208024e-50
466.125000	1.962675e-50	-6.482621e-50	6.482621e-50	1.962675e-50
466.250000	6.448342e-51	-6.730705e-50	6.730705e-50	6.448342e-51
466.375000	-6.935747e-51	-6.714126e-50	6.714126e-50	-6.935747e-51
466.500000	-2.000034e-50	-6.434541e-50	6.434541e-50	-2.000034e-50
466.625000	-3.223490e-50	-5.903903e-50	5.903903e-50	-3.223490e-50
466.750000	-4.316346e-50	-5.143948e-50	5.143948e-50	-4.316346e-50
466.875000	-5.236310e-50	-4.185304e-50	4.185304e-50	-5.236310e-50
467.000000	-5.948031e-50	-3.066250e-50	3.066250e-50	-5.948031e-50
467.125000	-6.424449e-50	-1.831188e-50	1.831188e-50	-6.424449e-50
467.250000	-6.647818e-50	-5.288812e-51	5.288812e-51	-6.647818e-50
467.375000	-6.610363e-50	7.894769e-51	-7.894769e-51	-6.610363e-50
467.500000	-6.314540e-50	2.072270e-50	-2.072270e-50	-6.314540e-50
467.625000	-5.772896e-50	3.269481e-50	-3.269481e-50	-5.772896e-50
467.750000	-5.007534e-50	4.334640e-50	-4.334640e-50	-5.007534e-50
467.875000	-4.049214e-50	5.226626e-50	-5.226626e-50	-4.049214e-50
468.000000	-2.936105e-50	5.911246e-50	-5.911246e-50	-2.936105e-50
468.125000	-1.712272e-50	6.362548e-50	-6.362548e-50	-1.712272e-50
468.250000	-4.259250e-51	6.563794e-50	-6.563794e-50	-4.259250e-51
468.375000	8.724812e-51	6.508075e-50	-6.508075e-50	8.724812e-51
468.500000	2.132223e-50	6.198540e-50	-6.198540e-50	2.132223e-50
468.625000	3.304291e-50	5.648229e-50	-5.648229e-50	3.304291e-50
468.750000	4.343292e-50	4.879523e-50	-4.879523e-50	4.343292e-50
468.875000	5.209206e-50	3.923231e-50	-3.923231e-50	5.209206e-50
469.000000	5.868925e-50	2.817352e-50	-2.817352e-50	5.868925e-50
469.125000	6.297510e-50	1.605563e-50	-1.605563e-50	6.297510e-50
469.250000	6.479133e-50	3.354943e-51	-3.354943e-51	6.479133e-50
469.375000	6.407650e-50	-9.431448e-51	9.431448e-51	6.407650e-50
469.500000	6.086804e-50	-2.180511e-50	2.180511e-50	6.086804e-50
469.625000	5.530034e-50	-3.328570e-50	3.328570e-50	5.530034e-50
469.750000	4.759911e-50	-4.342957e-50	4.342957e-50	4.759911e-50
469.875000	3.807220e-50	-5.184688e-50	5.184688e-50	3.807220e-50
470.000000	2.709730e-50	-5.821657e-50	5.821657e-50	2.709730e-50
470.125000	1.510690e-50	-6.229853e-50	6.229853e-50	1.510690e-50
470.250000	2.571261e-51	-6.394262e-50	6.394262e-50	2.571261e-51
470.375000	-1.002002e-50	-6.309409e-50	6.309409e-50	-1.002002e-50
470.500000	-2.217718e-50	-5.979536e-50	5.979536e-50	-2.217718e-50
470.625000	-3.342926e-50	-5.418390e-50	5.418390e-50	-3.342926e-50
470.750000	-4.334239e-50	-4.648652e-50	4.648652e-50	-4.334239e-50
470.875000	-5.153647e-50	-3.701016e-50	3.701016e-50	-5.153647e-50
471.000000	-5.769967e-50	-2.612964e-50	2.612964e-50	-5.769967e-50
471.125000	-6.160030e-50	-1.427280e-50	1.427280e-50	-6.160030e-50
471.250000	-6.309546e-50	-1.903672e-51	1.903672e-51	-6.309546e-50
471.375000	-6.213615e-50	1.049567e-50	-1.049567e-50	-6.213615e-50
471.500000	-5.876888e-50	2.244393e-50	-2.244393e-50	-5.876888e-50
471.625000	-5.313334e-50	3.347922e-50	-3.347922e-50	-5.313334e-50
471.750000	-4.545669e-50	4.317695e-50	-4.317695e-50	-4.545669e-50
471.875000	-3.604430e-50	5.116606e-50	-5.116606e-50	-3.604430e-50
472.000000	-2.526764e-50	5.714325e-50	-5.714325e-50	-2.526764e-50
472.125000	-1.354957e-50	6.088439e-50	-6.088439e-50	-1.354957e-50
472.250000	-1.347718e-51	6.225294e-50	-6.225294e-50	-1.347718e-51
472.375000	1.086334e-50	6.120478e-50	-6.120478e-50	1.086334e-50
472.500000	2.261060e-50	5.778962e-50	-5.778962e-50	2.261060e-50
472.625000	3.344090e-50	5.214859e-50	-5.214859e-50	3.344090e-50
472.750000	4.293837e-50	4.450846e-50	-4.450846e-50	4.293837e-50
472.875000	5.074041e-50	3.517247e-50	-3.517247e-50	5.074041e-50
473.000000	5.655149e-50	2.450825e-50	-2.450825e-50	5.655149e-50
473.125000	6.015425e-50	1.293339e-50	-1.293339e-50	6.015425e-50
473.250000	6.141764e-50	8.989840e-52	-8.989840e-52	6.141764e-50
473.375000	6.030158e-50	-1.112786e-50	1.112786e-50	6.030158e-50
473.500000	5.685815e-50	-2.268221e-50	2.268221e-50	5.685815e-50
473.625000	-3.295162e-55	-1.844446e-55	1.844446e-55	-3.295162e-55
473.750000	-3.670434e-55	-8.553796e-56	8.553796e-56	-3.670434e-55
473.875000	-3.756189e-55	1.967828e-56	-1.967828e-56	-3.756189e-55
474.000000	-3.546945e-55	1.229234e-55	-1.229234e-55	-3.546945e-55
474.125000	-3.060379e-55	2.161089e-55	-2.161089e-55	-3.060379e-55
474.250000	-2.335832e-55	2.919715e-55	-2.919715e-55	-2.335832e-55
474.375000	-1.431123e-55	3.446388e-55	-3.446388e-55	-1.431123e-55
474.500000	-4.179285e-56	3.700827e-55	-3.700827e-55	-4.179285e-56
474.625000	6.239010e-56	3.664267e-55	-3.664267e-55	6.239010e-56
474.750000	1.612632e-55	3.340818e-55	-3.340818e-55	1.612632e-55
474.875000	2.471058e-55	2.757043e-55	-2.757043e-55	2.471058e-55
475.000000	3.132528e-55	1.959767e-55	-1.959767e-55	3.132528e-55
475.125000	3.546105e-55	1.012314e-55	-1.012314e-55	3.546105e-55
475.250000	3.680485e-55	-1.052367e-57	1.052367e-57	3.680485e-55
475.375000	3.526352e-55	-1.028393e-55	1.028393e-55	3.526352e-55
475.500000	3.096998e-55	-1.961694e-55	1.961694e-55	3.096998e-55
475.625000	2.427181e-55	-2.737800e-55	2.737800e-55	2.427181e-55
475.750000	1.570301e-55	-3.296702e-55	3.296702e-55	1.570301e-55
475.875000	5.941404e-56	-3.595642e-55	3.595642e-55	5.941404e-56
476.000000	-4.245016e-56	-3.612369e-55	3.612369e-55	-4.245016e-56
476.125000	-1.405855e-55	-3.346786e-55	3.346786e-55	-1.405855e-55
476.250000	-2.273420e-55	-2.820845e-55	2.820845e-55	-2.273420e-55
476.375000	-2.959933e-55	-2.076735e-55	2.076735e-55	-2.959933e-55
476.500000	-3.412564e-55	-1.173487e-55	1.173487e-55	-3.412564e-55
476.625000	-3.596983e-55	-1.822888e-56	1.822888e-56	-3.596983e-55
